rank,bracket,horse_num,sex_age,weight_constraint,jockey,odds,popularity,horse_weight,trainer,race_id,prev_rank,rest_days,weather,track,sire,bms,lineage,prev1_relative_last3f,prev2_relative_last3f,prev3_relative_last3f,prev1_passage_num,prev2_passage_num,prev3_passage_num,is_long_trip,is_stay,weight_delta,weight_ratio,sire_track_interaction
1.0,7.0,11.0,22,57.0,182,3.0,2.0,497.0,68,202345020211,1.0,31.0,3,2,171,286,9,50.0,50.0,50.0,2.0,7.0,7.0,0,0,2.0,0.11468812646502764,365
1.0,7.0,7.0,19,55.0,207,2.9,2.0,500.0,69,202530090406,1.0,90.0,2,1,166,244,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10999999780000005,354
1.0,7.0,7.0,23,57.0,62,2.2,2.0,471.0,145,202443020811,1.0,183.0,2,3,73,295,7,50.0,50.0,50.0,5.0,1.0,7.0,0,0,0.0,0.12101910571084702,146
1.0,7.0,10.0,22,57.0,100,2.9,1.0,486.0,19,202435072111,1.0,90.0,2,2,216,238,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.117283948204034,462
1.0,4.0,4.0,21,58.0,206,3.8,2.0,490.0,358,202509020811,1.0,90.0,3,2,190,158,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11836734452311543,407
1.0,3.0,3.0,23,57.0,55,3.0,1.0,530.0,49,202444091111,1.0,55.0,2,2,47,305,0,50.0,50.0,50.0,1.0,7.0,7.0,0,0,1.0,0.10754716778212892,80
1.0,8.0,17.0,21,58.0,202,7.2,4.0,468.0,266,202308030812,1.0,90.0,2,2,158,257,17,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.12393162128351237,334
1.0,3.0,6.0,20,55.0,217,8.3,3.0,500.0,316,202303020211,1.0,90.0,2,2,127,305,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10999999780000005,260
1.0,7.0,13.0,21,58.0,217,23.3,7.0,496.0,323,202407020810,1.0,90.0,3,3,0,167,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11693548151339755,2
1.0,2.0,4.0,21,58.0,109,4.8,3.0,494.0,355,202407030210,1.0,90.0,2,2,137,97,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11740890450589263,287
1.0,3.0,3.0,12,55.0,120,4.4,2.0,476.0,243,202506050111,1.0,329.0,2,2,196,251,12,50.0,50.0,50.0,5.0,7.0,7.0,0,0,0.0,0.11554621605995345,424
1.0,7.0,11.0,21,58.0,20,15.4,8.0,516.0,241,202606020310,1.0,90.0,2,3,48,61,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11240309859683918,84
1.0,2.0,4.0,20,56.0,253,3.8,3.0,502.0,361,202506050811,1.0,104.0,2,2,192,290,12,50.0,50.0,50.0,4.0,2.0,7.0,1,0,-1.0,0.11155378263837087,412
1.0,5.0,7.0,12,55.0,216,2.3,1.0,536.0,347,202404040611,1.0,90.0,2,2,23,65,0,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10261193838410564,38
1.0,7.0,13.0,22,57.0,120,1.6,1.0,522.0,242,202305010211,1.0,90.0,2,2,22,64,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10919540020698468,36
1.0,8.0,17.0,12,56.0,18,2.5,1.0,476.0,270,202505020811,1.0,252.0,3,2,120,36,5,50.0,50.0,50.0,3.0,2.0,8.0,0,0,0.5,0.1176470563519526,243
1.0,4.0,4.0,20,57.0,254,1.6,1.0,521.0,231,202544021911,1.0,90.0,2,2,90,153,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10940498830316722,179
1.0,8.0,18.0,13,56.0,14,5.7,2.0,486.0,333,202310010611,1.0,90.0,3,3,45,179,17,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11522633507764743,73
1.0,2.0,2.0,21,57.0,243,6.5,3.0,446.0,11,202536123112,1.0,31.0,3,3,159,242,12,50.0,50.0,50.0,3.0,1.0,7.0,0,0,0.0,0.12780268771742853,338
1.0,4.0,5.0,11,55.0,186,7.2,6.0,448.0,254,202405020411,1.0,90.0,2,2,89,337,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12276785440250326,176
1.0,7.0,7.0,24,54.0,182,7.7,5.0,566.0,78,202442091811,1.0,272.0,4,2,61,222,5,50.0,50.0,50.0,2.0,1.0,5.0,0,0,-3.0,0.09540635873840356,109
1.0,7.0,11.0,24,57.0,140,9.2,5.0,504.0,203,202306020211,1.0,90.0,2,2,151,13,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.113095235851285,314
1.0,6.0,6.0,24,57.0,45,15.9,3.0,495.0,72,202548111311,1.0,140.0,3,1,65,321,14,50.0,50.0,50.0,2.0,7.0,7.0,0,0,0.0,0.11515151282522197,124
1.0,2.0,2.0,20,56.0,70,1.5,1.0,470.0,41,202548010111,1.0,90.0,2,2,166,218,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11914893363512907,355
1.0,1.0,1.0,21,56.0,160,5.6,2.0,490.0,341,202508040710,1.0,90.0,2,2,160,220,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11428571195335283,340
1.0,1.0,1.0,12,55.0,180,3.8,1.0,452.0,210,202503010411,1.0,28.0,3,2,70,193,5,50.0,50.0,50.0,1.0,7.0,7.0,0,0,-1.0,0.12168141323713688,136
1.0,6.0,12.0,24,58.0,113,10.8,5.0,518.0,323,202309010710,1.0,90.0,2,2,2,4,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11196910980754615,4
1.0,4.0,4.0,20,56.0,52,2.6,2.0,504.0,41,202547020410,1.0,36.0,2,2,140,290,0,50.0,50.0,50.0,3.0,7.0,7.0,0,0,1.0,0.11111110890652562,294
1.0,8.0,9.0,20,56.0,182,1.9,2.0,519.0,120,202545091011,1.0,183.0,2,2,171,307,12,50.0,50.0,50.0,7.0,2.0,7.0,0,0,-1.0,0.10789980524277833,365
1.0,7.0,9.0,19,57.0,125,2.6,1.0,470.0,93,202430102908,1.0,54.0,2,2,98,229,14,50.0,50.0,50.0,6.0,7.0,7.0,0,0,2.0,0.12127659316432782,199
1.0,4.0,4.0,11,54.0,153,1.4,1.0,479.0,154,202344012411,1.0,90.0,2,2,61,88,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11273486194708013,109
1.0,6.0,6.0,21,57.0,150,1.0,1.0,512.0,161,202430073112,1.0,41.0,2,1,156,267,14,50.0,50.0,50.0,5.0,3.0,2.0,0,0,-1.0,0.1113281228256226,327
1.0,7.0,13.0,14,55.5,223,25.9,9.0,464.0,282,202409010511,1.0,248.0,3,2,45,179,17,50.0,50.0,50.0,2.0,7.0,7.0,0,0,0.5,0.119612066387671,72
1.0,3.0,5.0,21,58.0,18,4.7,3.0,490.0,299,202509030410,1.0,90.0,2,1,204,242,15,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11836734452311543,439
1.0,7.0,15.0,12,54.0,17,3.8,2.0,468.0,308,202408020511,1.0,90.0,3,2,196,275,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11538461291913221,424
1.0,8.0,8.0,19,56.0,113,1.9,1.0,498.0,273,202408060711,1.0,63.0,3,2,69,73,5,50.0,50.0,50.0,6.0,7.0,7.0,0,0,1.0,0.1124497969387591,132
1.0,3.0,3.0,24,56.0,242,8.1,5.0,462.0,113,202536033012,1.0,109.0,2,2,132,303,3,50.0,50.0,50.0,1.0,5.0,7.0,0,0,0.0,0.12121211858848228,276
1.0,1.0,1.0,12,56.0,64,2.9,2.0,454.0,302,202508030209,1.0,90.0,3,1,104,224,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12334801490422875,211
1.0,4.0,4.0,25,57.0,123,4.0,3.0,539.0,100,202547092311,1.0,90.0,2,2,175,257,14,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.1057513895036848,374
1.0,6.0,8.0,19,55.0,116,4.1,1.0,472.0,290,202407020811,1.0,90.0,3,3,124,262,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11652542126005463,253
1.0,3.0,3.0,25,61.0,32,6.1,3.0,520.0,182,202508020104,1.0,497.0,2,2,219,205,5,50.0,50.0,50.0,5.0,7.0,7.0,1,0,1.0,0.1173076900517752,467
1.0,1.0,1.0,12,55.0,243,102.1,8.0,460.0,19,202335070211,1.0,90.0,3,1,216,244,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11956521479206056,461
1.0,8.0,14.0,20,57.0,206,9.2,4.0,492.0,339,202408070810,1.0,90.0,2,2,69,104,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11585365618183627,132
1.0,6.0,9.0,21,57.0,61,3.9,2.0,478.0,269,202409010410,1.0,90.0,2,2,9,42,15,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11924685942998203,14
1.0,3.0,3.0,21,57.0,46,3.4,1.0,482.0,223,202501010211,1.0,140.0,3,1,69,113,5,50.0,50.0,50.0,1.0,7.0,7.0,1,0,0.0,0.11825725895731828,131
1.0,4.0,7.0,23,57.0,64,13.1,6.0,448.0,287,202608020311,1.0,819.0,3,2,186,286,13,50.0,50.0,50.0,4.0,7.0,7.0,0,0,1.0,0.12723214001713973,397
